run,lr,weight_decay,batch_size,epochs,momentum,best_acc,final_acc,status
1,0.0035,0.0001,128,50,0.9,0.6991,0.6984,ok
2,0.004,0.0001,128,50,0.9,0.7027,0.7027,ok
3,0.0045,0.0001,128,50,0.9,0.7032,0.6986,ok
4,0.005,0.0001,128,50,0.9,0.7133,0.7103,ok
5,0.0055,0.0001,128,50,0.9,0.7158,0.7005,ok
6,0.006,0.0001,128,50,0.9,0.7101,0.7027,ok
7,0.0065,0.0001,128,50,0.9,0.7101,0.7018,ok
8,0.007,0.0001,128,50,0.9,0.7115,0.7019,ok
9,0.005,5e-05,128,50,0.9,0.7155,0.7057,ok
10,0.005,7.5e-05,128,50,0.9,0.7125,0.7037,ok
11,0.005,0.0001,128,50,0.9,0.7133,0.7103,ok
12,0.005,0.00015,128,50,0.9,0.7157,0.7021,ok
13,0.005,0.0002,128,50,0.9,0.7108,0.7082,ok
14,0.005,0.0003,128,50,0.9,0.7107,0.7098,ok
15,0.005,0.0001,128,50,0.88,0.6999,0.6950,ok
16,0.005,0.0001,128,50,0.89,0.7015,0.7003,ok
17,0.005,0.0001,128,50,0.9,0.7133,0.7103,ok
18,0.005,0.0001,128,50,0.91,0.7120,0.7031,ok
19,0.005,0.0001,128,50,0.92,0.7199,0.7199,ok
20,0.005,0.0001,128,65,0.9,0.7256,0.7138,ok
21,0.005,5e-05,128,65,0.9,0.7275,0.7263,ok
22,0.0045,0.0001,128,65,0.9,0.7192,0.6839,ok
23,0.0055,0.0001,128,65,0.9,0.7244,0.7073,ok
24,0.005,0.00015,128,65,0.9,0.7280,0.7115,ok
25,0.005,0.0001,128,65,0.91,0.7269,0.7223,ok
26,0.005,0.0,128,65,0.9,0.7253,0.7110,ok
27,0.0042,0.0002,128,50,0.92,0.7184,0.7095,ok
28,0.0058,0.0002,128,65,0.91,0.7261,0.7211,ok
29,0.0051,0.00015,128,65,0.89,0.7186,0.7100,ok
30,0.0052,5e-05,128,60,0.91,0.7222,0.7193,ok
31,0.0049,0.00015,128,60,0.89,0.7083,0.7083,ok
